symbol,time,open,high,low,close,volume,amount,next_page_token,time_eastern
QQQ,2024-02-21 14:30:00+00:00,424.55,424.96,423.82,424.75,1478010,1131793954.4645991,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 09:30:00-05:00
QQQ,2024-02-21 14:35:00+00:00,424.75,424.94,424.34,424.7,545491,231645613.5512,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 09:35:00-05:00
QQQ,2024-02-21 14:40:00+00:00,424.7,424.79,423.6199,423.9,679574,288169944.7715,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 09:40:00-05:00
QQQ,2024-02-21 14:45:00+00:00,423.905,424.14,423.445,423.77,826274,350221090.8474,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 09:45:00-05:00
QQQ,2024-02-21 14:50:00+00:00,423.77,424.07,423.4501,423.9599,620535,262954945.5986,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 09:50:00-05:00
QQQ,2024-02-21 14:55:00+00:00,423.9599,424.515,423.8479,424.06,443378,188066394.7872,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 09:55:00-05:00
QQQ,2024-02-21 15:00:00+00:00,424.04,425.2999,423.78,425.24,755631,320822617.548,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 10:00:00-05:00
QQQ,2024-02-21 15:05:00+00:00,425.24,425.24,424.48,424.78,462767,196610758.70229998,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 10:05:00-05:00
QQQ,2024-02-21 15:10:00+00:00,424.78,424.94,424.52,424.58,360300,153029473.8208,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 10:10:00-05:00
QQQ,2024-02-21 15:15:00+00:00,424.58,425.109,424.49,424.62,441066,187392078.1115,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 10:15:00-05:00
QQQ,2024-02-21 15:20:00+00:00,424.62,424.98,424.445,424.71,391500,166276836.3169,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 10:20:00-05:00
QQQ,2024-02-21 15:25:00+00:00,424.71,424.8,424.0,424.05,507137,215187905.6061,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 10:25:00-05:00
QQQ,2024-02-21 15:30:00+00:00,424.05,424.2892,423.58,423.99,433572,183805276.95029998,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 10:30:00-05:00
QQQ,2024-02-21 15:35:00+00:00,423.99,424.36,423.8201,424.01,415197,176085245.1334,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 10:35:00-05:00
QQQ,2024-02-21 15:40:00+00:00,424.01,424.33,423.67,423.84,296701,125810308.36309999,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 10:40:00-05:00
QQQ,2024-02-21 15:45:00+00:00,423.84,424.34,423.62,424.24,351273,148926078.8713,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 10:45:00-05:00
QQQ,2024-02-21 15:50:00+00:00,424.24,424.251,423.899,424.11,369679,156759009.527,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 10:50:00-05:00
QQQ,2024-02-21 15:55:00+00:00,424.11,424.2898,423.89,423.92,691409,293268984.69149995,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 10:55:00-05:00
QQQ,2024-02-21 16:00:00+00:00,423.94,424.41,423.9,424.0669,562066,238413296.9615,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 11:00:00-05:00
QQQ,2024-02-21 16:05:00+00:00,424.0669,424.77,423.89,424.5901,366866,155702318.4308,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 11:05:00-05:00
QQQ,2024-02-21 16:10:00+00:00,424.59,425.08,424.525,425.04,492178,209071893.07490003,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 11:10:00-05:00
QQQ,2024-02-21 16:15:00+00:00,425.04,425.13,424.561,424.84,293305,124598212.5044,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 11:15:00-05:00
QQQ,2024-02-21 16:20:00+00:00,424.84,424.98,424.7,424.75,282414,119989707.60530001,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 11:20:00-05:00
QQQ,2024-02-21 16:25:00+00:00,424.75,424.81,424.36,424.445,309419,131366525.8739,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 11:25:00-05:00
QQQ,2024-02-21 16:30:00+00:00,424.445,424.655,424.22,424.39,386258,163941096.2276,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 11:30:00-05:00
QQQ,2024-02-21 16:35:00+00:00,424.39,424.64,424.145,424.35,801171,339984871.13350004,a2xpbmUyLjB8UVFRfDVtaW58MTcwODQ5NTgxMDMzNHwxNzA5OTI3MTMwMDAw,2024-02-21 11:35:00-05:00
